Reggie Jackson,7.31,2011,1161,.618,.585,.389,.315,.193,34,32,7.5,15.0,.503,5.1,9.2,.556,2.4,5.8,.420,3.8,4.7,.796,5.0,5.2,1.2,0.6,2.8,2.0,21.3
MarShon Brooks,6.44,2011,1168,.584,.542,.345,.384,.203,32,31,9.5,19.6,.483,7.2,12.8,.559,2.3,6.7,.340,5.8,7.5,.772,7.7,2.7,1.6,1.3,3.4,2.7,27.0
Jordan Hamilton,7.96,2011,1159,.550,.522,.424,.221,.231,36,36,8.4,19.1,.440,5.3,11.0,.481,3.1,8.1,.385,3.3,4.2,.779,9.5,2.6,1.1,0.8,2.7,2.2,23.2
Norris Cole,1.74,2011,1285,.558,.483,.260,.465,.258,36,36,7.8,17.8,.439,6.2,13.2,.473,1.6,4.6,.342,7.1,8.3,.853,6.5,5.9,2.5,0.1,3.0,2.7,24.3
Cory Joseph,7.96,2011,1166,.526,.503,.391,.227,.152,36,36,4.7,11.0,.422,2.9,6.7,.429,1.8,4.3,.413,1.7,2.5,.699,4.4,3.7,1.3,0.4,1.9,2.2,12.9
Jimmy Butler,8.51,2011,1282,.587,.516,.152,.628,.198,37,35,5.8,11.9,.490,5.2,10.1,.515,0.6,1.8,.345,5.9,7.5,.783,7.0,2.7,1.7,0.4,1.7,1.5,18.2
Anthony Davis,7.93,2012,1281,.654,.628,.059,.602,.310,40,40,6.6,10.5,.623,6.5,9.9,.653,0.1,0.6,.150,4.5,6.3,.709,13.0,1.6,1.7,5.8,1.3,2.4,17.7
Michael Kidd-Gilchrist,7.93,2012,1245,.570,.511,.156,.589,.192,40,39,5.1,10.5,.491,4.7,8.8,.535,0.4,1.6,.255,4.6,6.2,.745,9.5,2.4,1.3,1.2,2.8,3.1,15.3
Bradley Beal,7.33,2012,1267,.575,.525,.473,.440,.180,37,37,5.5,12.4,.445,3.5,6.5,.541,2.0,5.9,.339,4.2,5.5,.769,7.9,2.6,1.6,1.0,2.5,2.4,17.2
Dion Waiters,8.02,2012,891,.565,.534,.317,.331,.223,37,0,7.6,16.0,.476,5.8,11.0,.529,1.8,5.1,.363,3.9,5.3,.729,3.8,4.1,3.0,0.5,2.2,3.1,21.0
