Rafael Araujo,7.1,4.5,.016,-0.066,-5.9,-7.5,-0.7,-0.8,2004
Andre Iguodala,13.5,14.8,.118,.116,2.3,2.1,2.9,3.2,2004
Luke Jackson,16.3,7.9,.085,-0.003,-6.7,-4.2,-0.1,-0.2,2004
Kris Humphries,9.5,10.3,-0.019,.019,-5.0,-4.8,-0.7,-0.4,2004
Kirk Snyder,8.6,14.6,-0.012,.082,-5.0,-0.5,-0.7,0.5,2004
Jameer Nelson,14.5,19.5,.074,.132,-0.5,2.2,0.6,1.9,2004
Delonte West,12.3,15.1,.090,.114,-0.6,1.9,0.2,2.4,2004
Tony Allen,14.7,12.9,.103,.082,-0.1,-1.4,0.6,0.2,2004
Kevin Martin,8.7,14.8,.016,.137,-5.0,0.1,-0.3,1.0,2004
David Harrison,12.9,11.8,.090,.068,-1.3,-4.2,0.1,-0.6,2004
Andrew Bogut,15.2,15.5,.113,.085,1.8,0.5,2.3,1.4,2005
Marvin Williams,12.2,12.2,.069,.051,-3.7,-2.7,-0.8,-0.4,2005
Deron Williams,12.4,17.1,.059,.117,-2.3,0.8,-0.2,2.1,2005
Chris Paul,22.1,22.0,.178,.179,6.1,4.6,5.7,3.9,2005
Raymond Felton,14.2,13.5,.051,.039,0.0,-0.7,1.2,1.0,2005
Charlie Villanueva,16.4,15.8,.079,.085,-1.0,-2.9,0.6,-0.2,2005
Channing Frye,18.1,10.5,.108,.024,-1.6,-4.7,0.2,-1.3,2005
Ike Diogu,15.8,14.9,.123,.094,-3.1,-4.9,-0.3,-0.5,2005
Sean May,15.3,19.1,.047,.127,-2.8,0.9,-0.1,0.6,2005
Rashad McCants,12.6,7.2,.058,-0.023,-2.9,-4.4,-0.3,-0.3,2005
Antoine Wright,0.7,8.1,-0.062,.049,-9.0,-3.4,-0.7,-0.4,2005
Joey Graham,10.2,12.9,.038,.108,-3.5,-2.6,-0.6,-0.2,2005
Danny Granger,14.7,13.9,.139,.111,2.1,0.9,1.9,2.0,2005
Hakim Warrick,11.0,15.9,.053,.082,-5.5,-2.8,-0.6,-0.4,2005
Julius Hodge,4.2,14.0,-0.219,.115,-6.9,-3.3,0.0,0.0,2005
Nate Robinson,12.6,15.2,.046,.114,-1.5,0.2,0.2,0.7,2005
Jarrett Jack,12.3,14.5,.035,.087,-3.6,-0.1,-0.7,1.3,2005
Francisco Garcia,10.3,11.7,.060,.080,-1.3,-0.6,0.2,0.5,2005
Luther Head,11.2,13.7,.072,.123,0.2,1.5,1.3,2.0,2005
Jason Maxiell,8.0,14.4,-0.054,.091,-9.8,-2.0,-0.3,0.0,2005
Linas Kleiza,13.2,11.1,.111,.090,-4.3,-2.3,-0.3,-0.1,2005
Wayne Simien,11.5,6.3,.096,.025,-4.5,-6.1,-0.3,-0.1,2005
