8,Sims Edge,Condominium,581 sqft ,1 Geylang East Avenue 2, Available from 18 May,2,1,"S$ 2,400 /mo",EW9 Aljunied MRT Station,0.56 km
9,Sims Residences,Fully Furnished Apartment,1442 sqft ,8 Lorong 39 Geylang, Ready to move,4,2,"S$ 4,300 /mo",EW9 Aljunied MRT Station,0.90 km
10,Melosa,Fully Furnished Condominium,516 sqft ,28 Lorong 28 Geylang, Available from 27 May,2,1,"S$ 2,150 /mo",EW9 Aljunied MRT Station,0.52 km
11,Centra Loft,Fully Furnished Condominium,431 sqft ,3 Lorong 35 Geylang, Ready to move,1,1,"S$ 2,000 /mo",EW9 Aljunied MRT Station,0.67 km
12,Sims Urban Oasis,Partially Furnished Condominium,474 sqft ,2 Sims Drive, Ready to move,1,1,"S$ 2,288 /mo",EW9 Aljunied MRT Station,0.32 km
13,Sims Urban Oasis,Unfurnished Condominium,1033 sqft ,Sims Drive, Ready to move,3,2,"S$ 3,950 /mo",EW9 Aljunied MRT Station,0.32 km
14,Edenz Suites,Partially Furnished Apartment,420 sqft ,21 Lorong 28 Geylang, Ready to move,1,1,"S$ 1,750 /mo",EW9 Aljunied MRT Station,0.52 km
15,12 Pine Close,Fully Furnished HDB Apartment,200 sqft ,12 Pine Close, Ready to move,Room,0,S$ 700 /mo,EW9 Aljunied MRT Station,0.89 km
16,The Water Edge @ Geylang,Condominium,431 sqft ,8 Lorong 38 Geylang, Available from 20 Apr,1,1,"S$ 1,950 /mo",EW9 Aljunied MRT Station,0.72 km
17,120 Geylang East Central,Fully Furnished HDB Apartment,200 sqft ,120 Geylang East Central, Ready to move,Room,0,S$ 750 /mo,EW9 Aljunied MRT Station,0.26 km
18,Casa Aerata,Fully Furnished Apartment,431 sqft ,9 Lorong 26 Geylang, Ready to move,1,1,"S$ 1,900 /mo",EW9 Aljunied MRT Station,0.52 km
19,The Sunny Spring,Fully Furnished Apartment,1100 sqft ,50 Lorong 40 Geylang, Ready to move,3,3,"S$ 3,300 /mo",EW9 Aljunied MRT Station,0.85 km
0,#1 Suites (One Suites),Partially Furnished Condominium,150 sqft ,1 Lorong 20 Geylang, Available from 1 May,1,1,"S$ 1,200 /mo",EW9 Aljunied MRT Station,0.48 km
1,Sims Urban Oasis,Partially Furnished Condominium,667 sqft ,(within 0.32 km), S$ 3.75 psf,2,1,"S$ 2,500 /mo",EW9 Aljunied MRT Station,0.32 km
2,Sims Urban Oasis,Partially Furnished Condominium,624 sqft ,2 Sims Drive, Ready to move,2,1,"S$ 2,300 /mo",EW9 Aljunied MRT Station,0.32 km
3,Centra Loft,Fully Furnished Condominium,431 sqft ,3 Lorong 35 Geylang, Ready to move,Studio,0,"S$ 2,000 /mo",EW9 Aljunied MRT Station,0.67 km
4,Sims Urban Oasis,Partially Furnished Condominium,463 sqft ,12 Sims Drive, Ready to move,1,1,"S$ 2,000 /mo",EW9 Aljunied MRT Station,0.32 km
5,#1 Suites (One Suites),Partially Furnished Condominium,581 sqft ,1 Lorong 20 Geylang, Ready to move,2,2,"S$ 2,000 /mo",EW9 Aljunied MRT Station,0.48 km
6,Sims Urban Oasis,Partially Furnished Condominium,441 sqft ,2 Sims Drive, Ready to move,1,1,"S$ 2,500 /mo",EW9 Aljunied MRT Station,0.32 km
7,Above Shop House,Unfurnished Shophouse,1600 sqft ,Geylang Lorong 23, Ready to move,2,2,"S$ 3,000 /mo",EW9 Aljunied MRT Station,0.41 km
8,La Brisa,Condominium,431 sqft ,50 Lorong 28 Geylang, Ready to move,1,1,"S$ 1,800 /mo",EW9 Aljunied MRT Station,0.59 km
9,Treasures @ G19,Fully Furnished Condominium,409 sqft ,33 Lorong 19 Geylang, Ready to move,1,1,"S$ 1,800 /mo",EW9 Aljunied MRT Station,0.53 km
10,85 Circuit Road,Fully Furnished HDB Apartment,678 sqft ,85 Circuit Road, S$ 2.36 psf,2,1,"S$ 1,600 /mo",EW9 Aljunied MRT Station,0.77 km
11,Atrium Residences,Partially Furnished Apartment,1604 sqft ,1 Lorong 28 Geylang, Ready to move,2,2,"S$ 2,900 /mo",EW9 Aljunied MRT Station,0.53 km
