12,ECO,Condominium,603 sqft ,275 Bedok South Avenue 3, Available from 15 Apr,1,1,"S$ 2,200 /mo",EW4 Tanah Merah MRT Station,0.68 km
13,Brand New Bedok BTO Fengshan GreenVille,HDB Apartment,150 sqft ,Bedok North Street 4, S$ 5.33 psf,Room,0,S$ 800 /mo,EW4 Tanah Merah MRT Station,0.78 km
14,151A Tanah Merah Kechil Rd South,Fully Furnished Detached House,200 sqft ,(within 0.63 km), Ready to move,Room,0,"S$ 1,100 /mo",EW4 Tanah Merah MRT Station,0.63 km
15,ECO,Partially Furnished Condominium,549 sqft ,283 Bedok South Avenue 3, Available from 8 May,Studio,0,"S$ 2,000 /mo",EW4 Tanah Merah MRT Station,0.68 km
16,ECO,Condominium,861 sqft ,275 Bedok South Avenue 3, Ready to move,2,2,"S$ 2,650 /mo",EW4 Tanah Merah MRT Station,0.68 km
17,ECO,Condominium,603 sqft ,275 Bedok South Avenue 3, Available from 15 Apr,1,1,"S$ 2,150 /mo",EW4 Tanah Merah MRT Station,0.68 km
18,ECO,Fully Furnished Condominium,592 sqft ,275 Bedok South Avenue 3, Available from 1 May,2,1,"S$ 2,200 /mo",EW4 Tanah Merah MRT Station,0.68 km
19,Bedok Grove,Partially Furnished Terraced House,"3186 sqft, 1872 sqft (land) ",Bedok Place, Ready to move,4,4,"S$ 6,100 /mo",EW4 Tanah Merah MRT Station,0.82 km
0,The Glades,Partially Furnished Condominium,678 sqft ,Bedok Rise, Available from 23 Apr,2,2,"S$ 2,800 /mo",EW4 Tanah Merah MRT Station,0.20 km
1,Urban Vista,Fully Furnished Condominium,409 sqft ,8 Tanah Merah Kechil Link, Available from 5 May,1,1,"S$ 2,000 /mo",EW4 Tanah Merah MRT Station,0.27 km
2,Stratford Court,Fully Furnished Condominium,1346 sqft ,41A Bedok Ria Crescent, Ready to move,3,3,"S$ 3,300 /mo",EW4 Tanah Merah MRT Station,0.63 km
3,Stratford Court,Partially Furnished Condominium,980 sqft ,41A Bedok Ria Crescent, Ready to move,2,2,"S$ 2,800 /mo",EW4 Tanah Merah MRT Station,0.63 km
4,Limau Grove,Partially Furnished Semi-Detached House,"3000 sqft, 4646 sqft (land) ",Limau Grove, Available from 25 May,4,4,"S$ 5,000 /mo",EW4 Tanah Merah MRT Station,0.74 km
5,The Glades,Fully Furnished Condominium,495 sqft ,Bedok Rise, Ready to move,1,1,"S$ 1,900 /mo",EW4 Tanah Merah MRT Station,0.20 km
6,Bedok Ria Place,Partially Furnished Terraced House,"2500 sqft, 1774 sqft (land) ",Bedok Ria Place, Ready to move,4,3,"S$ 4,000 /mo",EW4 Tanah Merah MRT Station,0.50 km
7,Yugi Garden,Unfurnished Semi-Detached House,"3000 sqft, 2000 sqft (land) ",101 Jalan Chempaka Kuning, Ready to move,3,2,"S$ 3,500 /mo",EW4 Tanah Merah MRT Station,0.64 km
8,D'Manor,Partially Furnished Terraced House,3444 sqft ,Tanah Merah Kechil Avenue, Ready to move,5,5,"S$ 5,500 /mo",EW4 Tanah Merah MRT Station,0.27 km
9,ECO,Fully Furnished Condominium,635 sqft ,Bedok South Avenue 3, Available from 20 May,1,1,"S$ 2,000 /mo",EW4 Tanah Merah MRT Station,0.68 km
10,94C Bedok North Avenue 4,Fully Furnished HDB Apartment,1517 sqft ,94C Bedok North Avenue 4, Ready to move,3,2,"S$ 2,500 /mo",EW4 Tanah Merah MRT Station,0.83 km
11,The Glades,Fully Furnished Condominium,474 sqft ,Bedok Rise, Ready to move,1,1,"S$ 2,250 /mo",EW4 Tanah Merah MRT Station,0.20 km
12,The Glades,Fully Furnished Condominium,581 sqft ,Bedok Rise, Available from 1 Jul,2,1,"S$ 2,750 /mo",EW4 Tanah Merah MRT Station,0.20 km
13,35 Bedok South Avenue 2,Fully Furnished HDB Apartment,150 sqft ,35 Bedok South Avenue 2, Ready to move,Room,0,S$ 760 /mo,EW4 Tanah Merah MRT Station,0.95 km
14,East Village,Fully Furnished Condominium,1206 sqft ,430 Upper Changi Road, Ready to move,2,2,"S$ 2,600 /mo",EW4 Tanah Merah MRT Station,0.53 km
15,East Meadows,Fully Furnished Condominium,1216 sqft ,30 Tanah Merah Kechil Road, Ready to move,3,3,"S$ 3,150 /mo",EW4 Tanah Merah MRT Station,0.32 km
16,The Glades,Fully Furnished Condominium,950 sqft ,16 Bedok Rise, Ready to move,3,2,"S$ 3,500 /mo",EW4 Tanah Merah MRT Station,0.21 km
17,East Village,Fully Furnished Condominium,1206 sqft ,430 Upper Changi Road, Ready to move,2,2,"S$ 2,600 /mo",EW4 Tanah Merah MRT Station,0.53 km
18,Urban Vista,Condominium,441 sqft ,10 Tanah Merah Kechil Link, Ready to move,1,1,"S$ 1,999 /mo",EW4 Tanah Merah MRT Station,0.27 km
19,Urban Vista,Fully Furnished Condominium,560 sqft ,2 Tanah Merah Kechil Link, Available from 30 May,2,1,"S$ 2,400 /mo",EW4 Tanah Merah MRT Station,0.27 km
0,ECO,Fully Furnished Condominium,581 sqft ,Bedok South Avenue 3, Ready to move,1,1,"S$ 2,300 /mo",EW4 Tanah Merah MRT Station,0.68 km
1,Urban Vista,Unfurnished Condominium,603 sqft ,4 Tanah Merah Kechil Link, Available from 9 May,2,1,"S$ 2,400 /mo",EW4 Tanah Merah MRT Station,0.27 km
2,Tanah Merah Mansion,Fully Furnished Condominium,871 sqft ,137 Tanah Merah Kechil Road, Ready to move,2,1,"S$ 2,500 /mo",EW4 Tanah Merah MRT Station,0.60 km
3,Optima @ Tanah Merah,Partially Furnished Apartment,506 sqft ,78 Tanah Merah Kechil Avenue, Ready to move,1,1,"S$ 2,100 /mo",EW4 Tanah Merah MRT Station,0.11 km
4,Urban Vista,Partially Furnished Condominium,400 sqft ,2 Tanah Merah Kechil Link, Ready to move,Studio,0,"S$ 1,500 /mo",EW4 Tanah Merah MRT Station,0.27 km
5,Casa Merah,Fully Furnished Apartment,1238 sqft ,50 Tanah Merah Kechil Avenue, Ready to move,3,2,"S$ 3,800 /mo",EW4 Tanah Merah MRT Station,0.28 km
6,Optima @ Tanah Merah,Partially Furnished Apartment,1000 sqft ,78 Tanah Merah Kechil Avenue, S$ 3.00 psf,2,2,"S$ 3,000 /mo",EW4 Tanah Merah MRT Station,0.11 km
7,53 New Upper Changi Road,Partially Furnished HDB Apartment,904 sqft ,53 New Upper Changi Road, Ready to move,3,1,"S$ 2,150 /mo",EW4 Tanah Merah MRT Station,0.59 km
8,126 Bedok North Street 2,Fully Furnished HDB Apartment,721 sqft ,126 Bedok North Street 2, Available from 13 May,2,2,"S$ 1,700 /mo",EW4 Tanah Merah MRT Station,0.88 km
9,East Village,Partially Furnished Condominium,743 sqft ,430 Upper Changi Road, S$ 3.10 psf,2,1,"S$ 2,300 /mo",EW4 Tanah Merah MRT Station,0.53 km
10,12 Bedok Ria Terrace,Partially Furnished Terraced House,"3186 sqft, 2020 sqft (land) ",12 Bedok Ria Terrace, Ready to move,5,5,"S$ 5,500 /mo",EW4 Tanah Merah MRT Station,0.83 km
11,34 Bedok Place,Partially Furnished Terraced House,"3261 sqft, 2027 sqft (land) ",Bedok Place, Ready to move,5,5,"S$ 5,500 /mo",EW4 Tanah Merah MRT Station,0.78 km
12,117 Bedok North Road,Fully Furnished HDB Apartment,785 sqft ,117 Bedok North Road, Ready to move,2,2,"S$ 2,000 /mo",EW4 Tanah Merah MRT Station,1.00 km
13,Urban Vista,Fully Furnished Condominium,441 sqft ,2 Tanah Merah Kechil Link, S$ 4.99 psf,1,1,"S$ 2,200 /mo",EW4 Tanah Merah MRT Station,0.27 km
14,D'Manor,Fully Furnished Terraced House,"230 sqft, 3500 sqft (land) ",137 Tanah Merah Kechil Avenue, Ready to move,Room,0,"S$ 1,280 /mo",EW4 Tanah Merah MRT Station,0.27 km
15,Bedok Grove,Terraced House,"3261 sqft, 1981 sqft (land) ",Bedok Place, Ready to move,4,4,"S$ 5,800 /mo",EW4 Tanah Merah MRT Station,0.82 km
16,91 Bedok North Street 4,Fully Furnished HDB Apartment,1259 sqft ,91 Bedok North Street 4, Available from 17 Apr,4,2,"S$ 2,300 /mo",EW4 Tanah Merah MRT Station,0.92 km
17,ECO,Fully Furnished Condominium,549 sqft ,283 Bedok South Avenue 3, Available from 16 Apr,1,1,"S$ 2,050 /mo",EW4 Tanah Merah MRT Station,0.68 km
18,65 New Upper Changi Road,Fully Furnished HDB Apartment,150 sqft ,65 New Upper Changi Road, S$ 4.33 psf,Room,0,S$ 650 /mo,EW4 Tanah Merah MRT Station,0.83 km
19,71 Bedok South Road,Fully Furnished HDB Apartment,150 sqft ,71 Bedok South Road, S$ 5.00 psf,Room,0,S$ 750 /mo,EW4 Tanah Merah MRT Station,0.88 km
0,125 Bedok North Road,Fully Furnished HDB Apartment,150 sqft ,125 Bedok North Road, S$ 3.33 psf,Room,0,S$ 500 /mo,EW4 Tanah Merah MRT Station,0.87 km
1,64 New Upper Changi Road,Fully Furnished HDB Apartment,150 sqft ,64 New Upper Changi Road, S$ 4.33 psf,Room,0,S$ 650 /mo,EW4 Tanah Merah MRT Station,0.84 km
2,Casa Merah,Fully Furnished Condominium,1346 sqft ,50 Tanah Merah Kechil Avenue, Ready to move,3,2,"S$ 3,900 /mo",EW4 Tanah Merah MRT Station,0.28 km
3,ECO,Fully Furnished Condominium,635 sqft ,Bedok South Avenue 3, Ready to move,2,1,"S$ 2,500 /mo",EW4 Tanah Merah MRT Station,0.68 km
4,Casa Merah,Apartment,1238 sqft ,58 Tanah Merah Kechil Avenue, Ready to move,3,3,"S$ 3,499 /mo",EW4 Tanah Merah MRT Station,0.28 km
