4,Geylang Majestic Old House W/ Parking 3 Bed Plus 1,Partially Furnished Semi-Detached House,2270 sqft ,"Near By Geylang Rd, Sims Ave", Ready to move,3,3,"S$ 6,302 /mo",EW8 Paya Lebar MRT Station,0.88 km
5,IR23 - Half A Black And White! 3 +1 In Geylang Plus Parking!,Partially Furnished Conservation House,2270 sqft ,"Near By Geylang Rd, Sims Ave", Ready to move,3,3,"S$ 6,300 /mo",EW8 Paya Lebar MRT Station,0.85 km
6,11 Joo Chiat Place,Partially Furnished Shophouse,150 sqft ,11 Joo Chiat Place, Ready to move,Room,0,"S$ 1,150 /mo",EW8 Paya Lebar MRT Station,0.93 km
7,95 Aljunied Crescent,Fully Furnished HDB Apartment,700 sqft ,95 Aljunied Crescent, Ready to move,2,2,"S$ 1,850 /mo",EW8 Paya Lebar MRT Station,0.83 km
8,Katong Regency,Partially Furnished Condominium,560 sqft ,13 Tanjong Katong Road, Ready to move,1,1,"S$ 2,800 /mo",EW8 Paya Lebar MRT Station,0.37 km
9,Sims Edge,Fully Furnished Condominium,600 sqft ,1 Geylang East Avenue 2, Available from 18 May,2,1,"S$ 2,400 /mo",EW8 Paya Lebar MRT Station,0.63 km
10,The Sanctuary @ Geylang,Apartment,650 sqft ,1 Geylang Lorong 30, Ready to move,1,1,"S$ 2,800 /mo",EW8 Paya Lebar MRT Station,0.92 km
11,The Sunny Spring,Partially Furnished Apartment,1120 sqft ,50 Lorong 40 Geylang, Ready to move,3,2,"S$ 3,000 /mo",EW8 Paya Lebar MRT Station,0.76 km
12,Katong Regency,Fully Furnished Condominium,1464 sqft ,17 Tanjong Katong Road, Ready to move,3,2,"S$ 5,500 /mo",EW8 Paya Lebar MRT Station,0.49 km
13,10 Haig Road,Fully Furnished HDB Apartment,130 sqft ,10 Haig Road, Available from 18 Apr,Room,0,S$ 600 /mo,EW8 Paya Lebar MRT Station,0.47 km
14,Lotus At Paya Lebar,Partially Furnished Condominium,286 sqft ,11 Paya Lebar Road, Ready to move,1,1,"S$ 2,060 /mo",EW8 Paya Lebar MRT Station,0.20 km
15,Guilin Mansions,Partially Furnished Apartment,100 sqft ,8 Lorong 37 Geylang, S$ 7.00 psf,Room,0,S$ 700 /mo,EW8 Paya Lebar MRT Station,0.46 km
16,33 Eunos Crescent,Fully Furnished HDB Apartment,150 sqft ,33 Eunos Crescent, Available from 11 Apr,Room,0,S$ 800 /mo,EW8 Paya Lebar MRT Station,0.84 km
17,CONSERVATION CHARMING LOFT HOME 2BR @ MRT,Partially Furnished Conservation House,1600 sqft ,Paya Lebar Mrt, Ready to move,2,2,"S$ 4,480 /mo",EW8 Paya Lebar MRT Station,0.29 km
