17,DUO Residences,Partially Furnished Condominium,1012 sqft ,1 Fraser Street, Ready to move,2,2,"S$ 4,889 /mo",EW12 Bugis MRT Station,0.28 km
18,Concourse Skyline,Fully Furnished Condominium,787 sqft ,298 Beach Road, Ready to move,1,1,"S$ 3,800 /mo",EW12 Bugis MRT Station,0.65 km
19,Concourse Skyline,Partially Furnished Condominium,786 sqft ,298 Beach Road, Ready to move,1,1,"S$ 3,800 /mo",EW12 Bugis MRT Station,0.65 km
0,Concourse Skyline,Partially Furnished Condominium,1087 sqft ,300 Beach Road, Ready to move,2,2,"S$ 5,100 /mo",EW12 Bugis MRT Station,0.65 km
1,The Bencoolen,Fully Furnished Apartment,1000 sqft ,180 Bencoolen Street, Ready to move,2,2,"S$ 3,700 /mo",EW12 Bugis MRT Station,0.31 km
2,The Bencoolen,Apartment,900 sqft ,180 Bencoolen Street, Ready to move,2,2,"S$ 3,399 /mo",EW12 Bugis MRT Station,0.31 km
3,Jalan Besar Plaza,Partially Furnished Apartment,600 sqft ,101 Kitchener Road, Ready to move,2,1,"S$ 1,700 /mo",EW12 Bugis MRT Station,0.93 km
4,Sophia Residence,Fully Furnished Condominium,250 sqft ,15 Sophia Road, Ready to move,Room,0,"S$ 1,650 /mo",EW12 Bugis MRT Station,0.74 km
5,DUO Residences,Condominium,538 sqft ,1 Fraser Street, Available from 11 May,1,1,"S$ 3,000 /mo",EW12 Bugis MRT Station,0.28 km
6,DUO Residences,Apartment,969 sqft ,1 Fraser Street, Ready to move,2,2,"S$ 5,500 /mo",EW12 Bugis MRT Station,0.28 km
7,Sophia Residence,Fully Furnished Condominium,2142 sqft ,5 Sophia Road, Ready to move,3,2,"S$ 5,700 /mo",EW12 Bugis MRT Station,0.74 km
8,Sophia Residence,Partially Furnished Condominium,797 sqft ,5 Sophia Road, Available from 25 Apr,2,1,"S$ 3,990 /mo",EW12 Bugis MRT Station,0.74 km
9,Heritage Place,Fully Furnished Apartment,300 sqft ,21 Tan Quee Lan Street, Ready to move,Studio,0,"S$ 1,800 /mo",EW12 Bugis MRT Station,0.22 km
10,DUO Residences,Fully Furnished Condominium,646 sqft ,1 Fraser Street, Ready to move,1,1,"S$ 4,000 /mo",EW12 Bugis MRT Station,0.28 km
11,Mackenzie Regency,Fully Furnished Condominium,550 sqft ,33 Mackenzie Road, Ready to move,Studio,0,"S$ 2,600 /mo",EW12 Bugis MRT Station,0.85 km
12,Liang Seah Place,Fully Furnished Apartment,300 sqft ,1 Liang Seah Street, Available from 21 May,1,1,"S$ 2,300 /mo",EW12 Bugis MRT Station,0.30 km
13,DUO Residences,Partially Furnished Condominium,710 sqft ,1 Fraser Street, Ready to move,1,2,"S$ 3,900 /mo",EW12 Bugis MRT Station,0.28 km
14,DUO Residences,Partially Furnished Apartment,721 sqft ,1 Fraser Street, Ready to move,1,1,"S$ 3,900 /mo",EW12 Bugis MRT Station,0.28 km
15,DUO Residences,Partially Furnished Apartment,1593 sqft ,1 Fraser Street, Ready to move,3,2,"S$ 7,800 /mo",EW12 Bugis MRT Station,0.28 km
16,DUO Residences,Partially Furnished Condominium,721 sqft ,1 Fraser Street, Ready to move,1,1,"S$ 4,600 /mo",EW12 Bugis MRT Station,0.28 km
17,Concourse Skyline,Partially Furnished Condominium,818 sqft ,298 Beach Road, Ready to move,1,1,"S$ 4,000 /mo",EW12 Bugis MRT Station,0.65 km
18,DUO Residences,Fully Furnished Apartment,721 sqft ,1 Fraser Street, Ready to move,1,1,"S$ 4,200 /mo",EW12 Bugis MRT Station,0.28 km
19,Kelantan Lodge,Fully Furnished Apartment,334 sqft ,29 Kelantan Lane, Available from 1 May,Studio,0,"S$ 1,900 /mo",EW12 Bugis MRT Station,0.72 km
0,Concourse Skyline,Partially Furnished Condominium,1151 sqft ,300 Beach Road, Ready to move,2,2,"S$ 5,200 /mo",EW12 Bugis MRT Station,0.65 km
1,Parc Sophia,Apartment,732 sqft ,8 Adis Road, S$ 4.23 psf,2,1,"S$ 3,100 /mo",EW12 Bugis MRT Station,0.96 km
2,"PATIO LOVER ! !LOVELY HOME For FAMILY, Serene ! !",Partially Furnished Condominium,1400 sqft ,mount emily, Ready to move,3,3,"S$ 5,300 /mo",EW12 Bugis MRT Station,0.87 km
3,Concourse Skyline,Partially Furnished Condominium,2648 sqft ,300 Beach Road, Ready to move,4,3,"S$ 8,000 /mo",EW12 Bugis MRT Station,0.65 km
4,Parc Emily,Partially Furnished Condominium,581 sqft ,5 Mount Emily Road, Available from 15 Apr,1,1,"S$ 2,800 /mo",EW12 Bugis MRT Station,0.83 km
5,662 Buffalo Road,Partially Furnished HDB Apartment,915 sqft ,662 Buffalo Road, Ready to move,3,2,"S$ 3,000 /mo",EW12 Bugis MRT Station,0.92 km
6,DUO Residences,Partially Furnished Apartment,721 sqft ,1 Fraser Street, Ready to move,1,1,"S$ 3,950 /mo",EW12 Bugis MRT Station,0.28 km
7,DUO Residences,Fully Furnished Apartment,721 sqft ,1 Fraser Street, Ready to move,1,1,"S$ 4,200 /mo",EW12 Bugis MRT Station,0.28 km
8,9 Selegie Road,Partially Furnished HDB Apartment,120 sqft ,9 Selegie Road, Ready to move,Room,0,S$ 920 /mo,EW12 Bugis MRT Station,0.73 km
9,Parc Emily,Condominium,1206 sqft ,7 Mount Emily Road, Ready to move,3,3,"S$ 5,000 /mo",EW12 Bugis MRT Station,0.83 km
10,The Plaza,Partially Furnished Apartment,947 sqft ,7500A Beach Road, Ready to move,4,1,"S$ 3,000 /mo",EW12 Bugis MRT Station,0.50 km
11,Parc Emily,Partially Furnished Condominium,1206 sqft ,5 Mount Emily Road, Ready to move,3,3,"S$ 5,500 /mo",EW12 Bugis MRT Station,0.83 km
12,Burlington Square,Fully Furnished Condominium,120 sqft ,175 Bencoolen Street, S$ 9.17 psf,Room,0,"S$ 1,100 /mo",EW12 Bugis MRT Station,0.41 km
13,DUO Residences,Partially Furnished Apartment,1012 sqft ,1 Fraser Street, Ready to move,2,2,"S$ 5,200 /mo",EW12 Bugis MRT Station,0.28 km
14,Concourse Skyline,Partially Furnished Condominium,1173 sqft ,300 Beach Road, Ready to move,2,2,"S$ 5,200 /mo",EW12 Bugis MRT Station,0.65 km
15,636 Veerasamy Road,Partially Furnished HDB Apartment,775 sqft ,636 Veerasamy Road, Ready to move,2,2,"S$ 2,300 /mo",EW12 Bugis MRT Station,0.63 km
16,LIV On Sophia,Fully Furnished Apartment,400 sqft ,14 Adis Road, Ready to move,1,1,"S$ 2,350 /mo",EW12 Bugis MRT Station,0.87 km
