0,63B Lengkok Bahru,Partially Furnished HDB Apartment,1302 sqft ,63B Lengkok Bahru, Ready to move,3,2,"S$ 3,000 /mo",EW18 Redhill MRT Station,0.16 km
1,Echelon,Partially Furnished Condominium,452 sqft ,9 Alexandra View, Ready to move,Studio,0,"S$ 2,800 /mo",EW18 Redhill MRT Station,0.20 km
2,The Metropolitan Condominium,Fully Furnished Condominium,732 sqft ,6 Alexandra View, Ready to move,2,1,"S$ 3,800 /mo",EW18 Redhill MRT Station,0.12 km
3,46 Lengkok Bahru,Fully Furnished HDB Apartment,1474 sqft ,46 Lengkok Bahru, Ready to move,3,2,"S$ 2,900 /mo",EW18 Redhill MRT Station,0.55 km
4,Ascentia Sky,Partially Furnished Condominium,1474 sqft ,3 Alexandra View, Ready to move,3,3,"S$ 6,900 /mo",EW18 Redhill MRT Station,0.23 km
5,Mount Echo Park,Partially Furnished Good Class Bungalow,"5000 sqft, 15500 sqft (land) ",Mount Echo Park, Ready to move,5,5,"S$ 21,000 /mo",EW18 Redhill MRT Station,0.69 km
6,83 Redhill Lane,Fully Furnished HDB Apartment,150 sqft ,83 Redhill Lane, Ready to move,Room,0,S$ 800 /mo,EW18 Redhill MRT Station,0.43 km
7,105 Henderson Crescent,Partially Furnished HDB Apartment,150 sqft ,105 Henderson Crescent, Ready to move,Room,0,S$ 800 /mo,EW18 Redhill MRT Station,0.64 km
8,54 Lengkok Bahru,Fully Furnished HDB Apartment,110 sqft ,54 Lengkok Bahru, Ready to move,Room,0,S$ 750 /mo,EW18 Redhill MRT Station,0.33 km
9,Ascentia Sky,Apartment,1012 sqft ,1 Alexandra View, Available from 1 Jun,2,2,"S$ 3,999 /mo",EW18 Redhill MRT Station,0.23 km
10,The Crest,Partially Furnished Condominium,764 sqft ,105 Prince Charles Crescent, Ready to move,2,1,"S$ 3,500 /mo",EW18 Redhill MRT Station,0.74 km
11,161 Bukit Merah Central,Fully Furnished HDB Apartment,721 sqft ,161 Bukit Merah Central, Ready to move,2,2,"S$ 2,000 /mo",EW18 Redhill MRT Station,0.63 km
12,Tanglin View,Fully Furnished Condominium,1163 sqft ,150 Prince Charles Crescent, Available from 1 May,3,3,"S$ 4,200 /mo",EW18 Redhill MRT Station,0.28 km
13,Tanglin View,Fully Furnished Condominium,1152 sqft ,152 Prince Charles Crescent, S$ 3.30 psf,3,3,"S$ 3,800 /mo",EW18 Redhill MRT Station,0.28 km
14,37 Jalan Rumah Tinggi,Unfurnished HDB Apartment,700 sqft ,37 Jalan Rumah Tinggi, Ready to move,2,1,"S$ 1,700 /mo",EW18 Redhill MRT Station,0.83 km
15,Alex Residences,Partially Furnished Apartment,1023 sqft ,Alexandra View, S$ 4.59 psf,3,3,"S$ 4,700 /mo",EW18 Redhill MRT Station,0.06 km
16,58 Strathmore Avenue,Fully Furnished HDB Apartment,200 sqft ,58 Strathmore Avenue, Ready to move,4,2,S$ 700 /mo,EW18 Redhill MRT Station,0.78 km
17,The Crest,Partially Furnished Condominium,1658 sqft ,113 Prince Charles Crescent, Ready to move,4,4,"S$ 6,500 /mo",EW18 Redhill MRT Station,0.74 km
18,Alex Residences,Partially Furnished Apartment,1023 sqft ,Alexandra View, Ready to move,3,2,"S$ 4,300 /mo",EW18 Redhill MRT Station,0.06 km
19,Jervois Lodge,Unfurnished Condominium,1238 sqft ,32 Jervois Road, Ready to move,3,3,"S$ 3,800 /mo",EW18 Redhill MRT Station,0.89 km
0,Ascentia Sky,Partially Furnished Apartment,958 sqft ,1 Alexandra View, Ready to move,2,2,"S$ 4,000 /mo",EW18 Redhill MRT Station,0.23 km
1,Echelon,Fully Furnished Condominium,452 sqft ,9 Alexandra View, Ready to move,1,1,"S$ 2,800 /mo",EW18 Redhill MRT Station,0.20 km
2,Echelon,Fully Furnished Condominium,732 sqft ,9 Alexandra View, Ready to move,2,2,"S$ 3,500 /mo",EW18 Redhill MRT Station,0.20 km
